,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
586,063160,KR7063160006,종근당바이오,KOSPI,,27450,1,550,2.04,27150,27850,26400,32890,901436950,150589656900,5485962,STK
587,002700,KR7002700003,신일전자,KOSPI,,2100,1,5,0.24,2095,2110,2075,456091,954754150,149555031705,71047521,STK
588,002170,KR7002170009,삼양통상,KOSPI,,49700,2,-200,-0.4,50400,50400,49700,235,11726150,149550000000,3000000,STK
589,058850,KR7058850009,KTcs,KOSPI,,3485,2,-85,-2.38,3545,3570,3440,395034,1375719315,149184075000,42685000,STK
590,400760,KR7400760005,NH올원리츠,KOSPI,,3515,1,35,1.01,3480,3540,3460,144397,506691600,148544000000,42200000,STK
591,009470,KR7009470006,삼화전기,KOSPI,,22300,1,500,2.29,23950,26150,21650,4136720,101400013500,148480259000,6613820,STK
592,070960,KR7070960000,용평리조트,KOSPI,,3065,1,10,0.33,3055,3095,3045,19215,58776215,147047332315,48133333,STK
593,094280,KR7094280005,효성ITX,KOSPI,,12710,1,30,0.24,12640,12800,12640,8774,111324080,146904722000,11558200,STK
594,013570,KR7013570007,디와이,KOSPI,,5590,2,-110,-1.93,5660,5730,5480,60181,336847880,146600355810,26319633,STK
595,032560,KR7032560005,황금에스티,KOSPI,,8590,2,-140,-1.6,8770,8830,8470,169276,1447352950,146030000000,17000000,STK
596,019440,KR7019440007,세아특수강,KOSPI,,16770,2,-100,-0.59,16880,16880,16620,17661,295114080,143718900000,8570000,STK
597,007210,KR7007210008,벽산,KOSPI,,2085,1,5,0.24,2090,2095,2060,62086,128863575,142947600000,68560000,STK
598,015590,KR7015590003,큐로,KOSPI,,609,2,-46,-7.02,650,668,609,3795554,2374561147,142426369008,231211638,STK
599,134380,KR7134380005,미원화학,KOSPI,,64200,2,-300,-0.47,64200,64700,64200,116,7478900,142292639600,2199268,STK
600,023450,KR7023450000,동남합성,KOSPI,,40450,2,-150,-0.37,40850,41100,40450,229,9317350,141925000000,3500000,STK
601,000230,KR7000230003,일동홀딩스,KOSPI,,12260,2,-450,-3.54,12560,12680,12100,76496,947468290,141369900000,11540400,STK
602,023800,KR7023800006,인지컨트롤스,KOSPI,,8840,3,0,0.0,9000,9000,8600,35434,309733670,141176129210,15809197,STK
603,017550,KR7017550005,수산중공업,KOSPI,,2615,1,15,0.58,2600,2625,2570,119735,311188540,141171201245,53985163,STK
604,000180,KR7000180000,성창기업지주,KOSPI,,1998,2,-7,-0.35,2005,2015,1972,72665,144354792,139363696800,69751600,STK
605,002200,KR7002200004,한국수출포장,KOSPI,,3475,3,0,0.0,3475,3475,3335,92147,311755580,138800000000,40000000,STK
606,012800,KR7012800009,대창,KOSPI,,1511,2,-46,-2.95,1550,1579,1500,666010,1008256178,137895574987,91140499,STK
607,004090,KR7004090007,한국석유,KOSPI,,10840,2,-80,-0.73,11120,11500,10600,436589,4880731490,137731202000,12694120,STK
608,000320,KR7000320002,노루홀딩스,KOSPI,,10320,1,60,0.58,10260,10470,10200,15149,156655980,137164678320,13291151,STK
609,372910,KR7372910000,한컴라이프케어,KOSPI,,4890,2,-270,-5.23,5170,5330,4880,463041,2360370820,136019705490,27674406,STK
610,248170,KR7248170003,샘표식품,KOSPI,,29900,3,0,0.0,30300,30300,29450,10022,298434200,135906508500,4568286,STK
611,025560,KR7025560004,미래산업,KOSPI,,29700,1,2550,9.39,27150,30100,26550,343230,9966699500,135891637200,4575476,STK
612,004080,KR7004080008,신흥,KOSPI,,14290,2,-10,-0.07,14160,14290,14160,1805,25678350,135755000000,9500000,STK
613,308170,KR7308170000,씨티알모빌리티,KOSPI,,15670,2,-370,-2.31,16000,16040,15550,55645,871722660,134918700000,8610000,STK
614,036580,KR7036580009,팜스코,KOSPI,,3665,2,-60,-1.61,3850,3850,3635,123580,458830550,134056991950,36727943,STK
615,011330,KR7011330008,유니켐,KOSPI,,1596,3,0,0.0,1605,1625,1586,556353,891700155,134035292800,83772058,STK
616,000910,KR7000910000,유니온,KOSPI,,8580,2,-410,-4.56,9150,9200,8470,2073130,18251489100,133947691020,15611619,STK
617,008970,KR7008970006,동양철관,KOSPI,,1118,1,6,0.54,1113,1126,1092,737271,816805350,133151524800,118885290,STK
618,004150,KR7004150009,한솔홀딩스,KOSPI,,3135,2,-5,-0.16,3140,3150,3125,31814,99844685,132116974665,42008577,STK
619,005430,KR7005430004,한국공항,KOSPI,,40900,1,150,0.37,40700,41000,40600,1763,71994450,129503919500,3166355,STK
620,267290,KR7267290005,경동도시가스,KOSPI,,21900,1,200,0.92,22000,22950,21850,95190,2129561250,129404161700,5895406,STK
621,210540,KR7210540001,디와이파워,KOSPI,,11840,2,-60,-0.5,11900,11900,11510,48155,563968920,129298400680,11041708,STK
622,003460,KR7003460003,유화증권,KOSPI,,2295,3,0,0.0,2275,2345,2270,7941,18156655,129281506200,56702415,STK
623,010100,KR7010100006,한국무브넥스,KOSPI,,4220,1,5,0.12,4100,4355,3960,2144561,8837412290,129109780800,30450420,STK
624,014530,KR7014530000,극동유화,KOSPI,,3685,2,-10,-0.27,3710,3770,3670,137708,510552440,128668159800,34869420,STK
625,023000,KR7023000003,삼원강재,KOSPI,,3215,2,-35,-1.08,3275,3290,3160,60760,195086805,128600000000,40000000,STK
626,009190,KR7009190000,대양금속,KOSPI,,3735,1,55,1.49,3665,3950,3615,346293,1295642715,125819853280,33641672,STK
627,009070,KR7009070004,KCTC,KOSPI,,4195,2,-50,-1.18,4190,4240,4175,52407,219424775,125550000000,30000000,STK
628,011150,KR7011150000,CJ씨푸드,KOSPI,,3485,2,-55,-1.55,3540,3540,3420,652524,2262306755,124140820715,35930773,STK
629,120030,KR7120030002,조선선재,KOSPI,,98000,2,-200,-0.2,97500,98600,97000,4493,438078900,122872502700,1257651,STK
630,007280,KR7007280001,한국특강,KOSPI,,2025,1,5,0.25,2020,2030,2005,47027,94961340,122693935950,60589598,STK
631,002600,KR7002600005,조흥,KOSPI,,204000,3,0,0.0,204000,208500,203000,22,4502500,122100000000,600000,STK
632,003547,KR7003542008,대신증권2우B,KOSPI,,12160,2,-20,-0.16,12180,12190,12140,6364,77431970,121500000000,10000000,STK
633,016880,KR7016880007,웅진,KOSPI,,1510,2,-24,-1.56,1534,1539,1500,228915,345749755,120290255400,79927080,STK
634,013360,KR7013360003,일성건설,KOSPI,,2235,2,-35,-1.54,2230,2275,2215,204513,456873695,120205358000,54024880,STK
635,33626K,KR733626K013,두산퓨얼셀1우,KOSPI,,8950,2,-100,-1.1,9050,9050,8880,10917,97623910,119609590000,13364200,STK
636,017040,KR7017040007,광명전기,KOSPI,,2760,1,25,0.91,2765,2780,2720,493049,1354064510,119395129325,43337615,STK
637,119650,KR7119650000,KC코트렐,KOSPI,,3450,2,-210,-5.74,3670,3750,3320,1710319,6005387830,119371573200,34600456,STK
638,067830,KR7067830000,세이브존I&C,KOSPI,,2825,1,5,0.18,2830,2830,2785,64853,182270710,115735323900,41040895,STK
639,003650,KR7003650009,미창석유,KOSPI,,66300,2,-500,-0.75,66800,67000,66100,911,60440500,115340253600,1739672,STK
640,244920,KR7244920005,에이플러스에셋,KOSPI,,5110,1,50,0.99,5040,5260,4980,170920,879162880,115299234300,22607693,STK
