,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
266,094360,KR7094360005,칩스앤미디어,KOSDAQ,벤처기업부,31750,2,-2650,-7.7,33300,33850,31700,292458,9515356350,306080001250,9640315,KSQ
267,126340,KR7126340009,비나텍,KOSDAQ,우량기업부,52700,2,-1300,-2.41,54000,54000,52000,25932,1368858600,305839021900,5803397,KSQ
268,108230,KR7108230004,톱텍,KOSDAQ,중견기업부,8010,1,250,3.22,7710,8150,7670,238114,1896839260,304566192450,38023245,KSQ
269,235980,KR7235980000,메드팩토,KOSDAQ,기술성장기업부,14380,2,-220,-1.51,14280,14650,14250,119010,1710627460,303140394100,21080695,KSQ
270,061970,KR7061970000,LB세미콘,KOSDAQ,우량기업부,6900,2,-100,-1.43,6920,6980,6830,196818,1353663820,302113684800,43784592,KSQ
271,045100,KR7045100005,한양이엔지,KOSDAQ,우량기업부,16780,2,-220,-1.29,16960,17080,16660,516276,8697111650,302040000000,18000000,KSQ
272,005160,KR7005160007,동국산업,KOSDAQ,우량기업부,5550,2,-10,-0.18,5450,5620,5430,90293,499621220,301056875100,54244482,KSQ
273,425420,KR7425420007,티에프이,KOSDAQ,벤처기업부,26300,2,-3100,-10.54,28350,28650,26200,640147,17332336300,299320300000,11381000,KSQ
274,102710,KR7102710001,이엔에프테크놀로지,KOSDAQ,우량기업부,20800,2,-250,-1.19,20650,20900,20500,17370,359451100,297186988800,14287836,KSQ
275,100120,KR7100120005,뷰웍스,KOSDAQ,우량기업부,29650,2,-150,-0.5,29700,30000,29650,4152,123729400,296555297250,10001865,KSQ
276,334970,KR7334970001,프레스티지바이오로직스,KOSDAQ,기술성장기업부,4850,2,-5,-0.1,4855,4895,4780,139828,677531755,296373649650,61107969,KSQ
277,217330,KR7217330000,싸이토젠,KOSDAQ,기술성장기업부,16000,1,10,0.06,16550,16550,15780,6724,107575050,294453184000,18403324,KSQ
278,054210,KR7054210000,이랜텍,KOSDAQ,우량기업부,11630,2,-340,-2.84,11890,11890,11570,217328,2537197930,294136772300,25291210,KSQ
279,950130,KR8840090003,엑세스바이오,KOSDAQ,외국기업(소속부없음),8050,1,50,0.63,7860,8180,7840,117652,942596940,292339992350,36315527,KSQ
280,083930,KR7083930008,아바코,KOSDAQ,우량기업부,18950,2,-40,-0.21,18700,19050,18610,92759,1745882990,292072522100,15412798,KSQ
281,042000,KR7042000000,카페24,KOSDAQ,기술성장기업부,12950,2,-410,-3.07,13120,13320,12880,107150,1393058930,291338714100,22497198,KSQ
282,179290,KR7179290002,엠아이텍,KOSDAQ,우량기업부,9070,2,-160,-1.73,9190,9200,9010,71485,649108210,291289199460,32115678,KSQ
283,051500,KR7051500007,CJ프레시웨이,KOSDAQ,우량기업부,24500,2,-300,-1.21,24700,24800,24300,28343,694632050,290853857000,11871586,KSQ
284,220100,KR7220100002,퓨쳐켐,KOSDAQ,기술성장기업부,13150,2,-470,-3.45,13370,13640,12840,335027,4425571870,290643338250,22102155,KSQ
285,199800,KR7199800004,툴젠,KOSDAQ,기술성장기업부,36550,1,200,0.55,36450,39650,35000,53077,1950405300,289449464700,7919274,KSQ
286,241710,KR7241710003,코스메카코리아,KOSDAQ,우량기업부,27050,1,850,3.24,26100,27350,25750,177002,4763247200,288894000000,10680000,KSQ
287,003800,KR7003800000,에이스침대,KOSDAQ,우량기업부,25950,1,50,0.19,25900,26100,25750,3992,103013700,287785500000,11090000,KSQ
288,123860,KR7123860009,아나패스,KOSDAQ,벤처기업부,24500,2,-150,-0.61,24350,24650,24000,35432,858430100,287515046000,11735308,KSQ
289,041190,KR7041190000,우리기술투자,KOSDAQ,우량기업부,3420,2,-5,-0.15,3390,3440,3355,303284,1032215690,287280000000,84000000,KSQ
